epoch,gait_phase_output_loss,loss,stance_swing_output_loss
0,0.0071403831243515015,0.02272084914147854,0.08504282683134079
1,0.0017872295575216413,0.011353274807333946,0.0496174618601799
2,0.0014518448151648045,0.00985157210379839,0.043450433760881424
3,0.0014600270660594106,0.009252653457224369,0.04042317345738411
4,0.0012374265352264047,0.008601274341344833,0.03805665671825409
5,0.0011594347888603806,0.00810887012630701,0.0359065979719162
6,0.0010834098793566227,0.00791957788169384,0.03526424244046211
7,0.0010393026750534773,0.007679017260670662,0.03423789143562317
8,0.00101025914773345,0.0073600709438323975,0.03275930508971214
9,0.0009908498032018542,0.007304336875677109,0.03255829960107803
10,0.0009778266539797187,0.007091664243489504,0.031546980142593384
11,0.000981974066235125,0.007069787476211786,0.03142104297876358
